200 1131
191 147
0 74 41
0 102 30
0 117 30
0 128 36
0 147 29
1 0 44
1 17 30
1 25 29
1 41 40
1 55 38
1 88 45
1 188 37
2 12 29
2 21 36
2 26 45
2 30 45
2 52 30
2 55 28
2 82 36
2 103 28
2 132 39
3 13 34
3 40 42
3 53 40
3 58 28
3 79 33
3 140 44
3 183 41
4 25 41
4 44 41
4 54 40
4 65 37
4 119 46
4 132 32
4 171 32
4 178 45
5 71 41
5 154 33
6 24 47
6 53 31
6 113 40
6 116 38
6 125 36
6 178 30
7 28 32
7 69 43
7 89 36
7 115 31
7 178 35
8 5 36
10 14 32
10 26 40
10 41 29
10 42 47
10 183 31
10 192 33
11 32 44
11 62 36
11 86 29
11 87 29
11 108 37
11 152 46
11 165 32
12 4 43
12 59 30
12 75 39
13 14 42
13 28 28
13 45 31
13 59 45
13 63 34
13 76 30
13 105 33
13 115 29
13 169 42
13 194 33
14 89 27
14 97 44
14 133 39
14 143 30
14 152 38
14 160 33
14 169 44
15 29 42
15 44 42
15 80 27
15 110 39
15 141 47
15 175 33
15 189 47
16 31 37
16 33 32
16 49 43
16 116 42
16 134 41
16 162 42
16 187 28
17 46 28
17 51 35
17 68 37
17 105 29
17 117 33
17 133 40
17 179 34
17 189 41
18 38 44
18 138 35
18 155 44
18 172 34
18 196 41
19 25 34
19 58 41
19 71 33
19 182 28
19 185 39
19 191 45
19 199 44
20 11 39
20 19 41
20 49 41
20 96 29
20 116 35
20 144 35
20 149 34
21 28 44
21 118 31
21 129 35
21 155 29
21 157 28
22 17 44
22 29 40
22 35 39
22 70 41
22 77 33
22 97 36
22 126 31
22 131 38
22 139 37
22 172 35
22 194 37
23 20 45
23 50 47
23 65 40
24 25 27
24 192 43
25 91 30
25 94 40
25 144 46
25 170 39
26 8 32
26 28 29
26 110 39
26 150 34
26 184 40
27 0 41
27 4 37
27 50 41
27 64 42
27 67 44
27 70 33
27 83 33
27 102 34
28 121 36
28 132 43
28 134 43
28 136 40
28 138 32
28 145 34
28 159 33
28 176 30
29 41 28
29 146 46
29 193 32
30 8 33
30 26 39
30 46 46
31 10 36
31 49 29
31 51 42
31 129 40
31 140 36
32 21 35
32 27 33
32 52 46
32 65 42
32 87 40
32 101 27
32 106 31
32 111 30
32 119 39
32 153 45
32 156 31
32 188 39
33 15 29
33 16 30
33 32 47
33 65 34
33 74 43
33 81 40
33 94 28
33 140 44
33 141 42
33 154 34
33 156 47
34 24 38
34 88 28
34 102 30
34 112 42
34 166 45
35 58 38
35 105 45
35 146 31
35 172 44
36 10 36
36 34 36
36 54 32
36 64 36
36 70 42
36 73 35
36 80 32
36 130 43
36 136 32
36 190 39
37 18 28
37 20 40
37 65 39
37 136 45
38 72 27
38 84 44
38 140 34
38 160 32
39 2 45
39 51 44
39 53 32
39 167 39
39 169 44
39 172 30
39 173 30
40 11 40
40 48 33
40 51 42
40 54 30
40 103 33
40 120 33
40 148 32
40 165 35
41 0 32
41 67 27
41 71 46
41 75 43
41 89 30
41 138 41
41 165 30
41 188 43
42 1 43
42 2 43
42 59 34
42 76 47
42 91 46
42 109 28
42 110 31
43 95 42
43 120 31
43 127 32
43 162 35
43 176 27
44 19 34
44 37 31
44 49 29
44 56 33
44 66 32
44 134 39
45 13 42
45 16 46
45 23 33
45 82 36
45 85 27
45 155 38
45 186 28
46 67 38
46 185 41
47 29 33
47 40 30
47 67 36
47 93 43
47 162 36
